created_at,tweet_text,retweet_count,author,hashtags
Sun Feb 16 15:33:10 +0000 2020,"Invite some friends over for a game night 🙌🏻

Type: Social 🤗

Participants: 4

Accessibility: 0.2/1 (zero being the… https://t.co/cZ2SOu1373",0,TheBetterBot,
Sun Feb 16 15:29:47 +0000 2020,RT @Chris_Topper: I hate the accessibility social media provides. HATE IT,41,dyl0ading,
Sun Feb 16 15:29:06 +0000 2020,@CrypticMirror @daibhidc All the things I want to defend about it aren't the things people usually think about - th… https://t.co/Iz3cmonjqV,0,pickwick,
Sun Feb 16 15:28:55 +0000 2020,RT @LeonardCheshire: Check out @myblurredworld blog about how ‘accessible fashion’ should be applied to the entire shopping experience and…,5,reanst,
Sun Feb 16 15:28:43 +0000 2020,RT @victoriabyard: Jesus Christ. A century of British public service broadcasting demolished to satisfy the egotism and rapacity of an amor…,51,Harry_Mc01,
Sun Feb 16 15:28:20 +0000 2020,RT @JustinS52810527: @rarsaurusrex @JudyWil03869216 @talynstad @big_deezel @calebgdavidson @Crawfish_Rum @MaryHam34145462 @Tolwyn @Benedict…,1,wynbrght85,
Sun Feb 16 15:27:31 +0000 2020,RT @Omkar_Raii: The repurposing of existing drugs to treat new diseases by researchers from the School of Medical Science and Technology at…,160,anandakumarp10,
Sun Feb 16 15:27:10 +0000 2020,But what kind of game accessibility? Thanks to @MeepleLikeUs I now understand that there are so many flavours. Does… https://t.co/QYnYhx9ukj,0,redmeepleryan,
Sun Feb 16 15:26:44 +0000 2020,RT @Chris_Topper: I hate the accessibility social media provides. HATE IT,41,Scamzel,
Sun Feb 16 15:23:49 +0000 2020,RT @A11yAdvice: Add a link at the top of the page to allow people using a keyboard and/or a screen reader to skip over common elements on e…,5,deconspray,
Sun Feb 16 15:23:10 +0000 2020,"RT @TIME: As millions like and re-share a viral post, people with visual impairments often find themselves locked out of the discourse. 

E…",27,Samdenno,
Sun Feb 16 15:23:02 +0000 2020,@rarsaurusrex @JudyWil03869216 @talynstad @big_deezel @calebgdavidson @Crawfish_Rum @MaryHam34145462 @Tolwyn… https://t.co/nSNGWqqBSU,1,JustinS52810527,
Sun Feb 16 15:21:49 +0000 2020,Love seeing innovation used for accessibility and improve quality of life for our Seniors! https://t.co/0UHWwKeSLh,0,spudislander45,
Sun Feb 16 15:21:42 +0000 2020,"I love a good canvas. Here's one for #MachineLearning I  came across from Louis Dorard, Ph.D.  When we increase the… https://t.co/gLKv7Rzo4P",0,thinkdesign_ld,MachineLearning
Sun Feb 16 15:21:37 +0000 2020,"The accessibility social media has given us is simultaneously convenient, detestable, and frightening.",0,Malikka_Moreaux,
Sun Feb 16 15:21:31 +0000 2020,Definitely worth while supporting this much needed content. Accessibility to games also requires  accessible games… https://t.co/gNLckRJD5h,1,werenotwizards,
Sun Feb 16 15:21:27 +0000 2020,RT @LeonardCheshire: Check out @myblurredworld blog about how ‘accessible fashion’ should be applied to the entire shopping experience and…,5,ScopeBigHack,
Sun Feb 16 15:21:00 +0000 2020,RT @AilsaSpeak: Thanks to your support we could have a chance of changing the way Instagram can be used...  Keep the momentum going! - Sign…,2,AilsaSpeak,
Sun Feb 16 15:20:51 +0000 2020,"@wmjenkinsMU @RoxannahHunter #engl674mu
I didnt even consider time as a piece of accessibility! Hmmm, maybe this is… https://t.co/EkmdbiOzmd",0,bair_maddie,engl674mu
Sun Feb 16 15:20:23 +0000 2020,But when you can help us on support the / tour with a bio on the accessibility of their own service.,0,jamescassar_bot,
Sun Feb 16 15:19:58 +0000 2020,Fantastic news from @mirafertility for femmes in Boston and RI! We need to keep challenging our boundaries to pave… https://t.co/sOOXOrjlWx,0,sx_tech,
Sun Feb 16 15:19:54 +0000 2020,"RT @paupau323: As the disabled community advocated for accessible cabs in NYC, Mike Bloomberg was more worried about the comfort of everybo…",1,mkbrito,
Sun Feb 16 15:19:30 +0000 2020,"As the disabled community advocated for accessible cabs in NYC, Mike Bloomberg was more worried about the comfort o… https://t.co/40lqGrBXSR",1,paupau323,
Sun Feb 16 15:18:46 +0000 2020,RT @Chris_Topper: I hate the accessibility social media provides. HATE IT,41,johannaewards,
Sun Feb 16 15:18:45 +0000 2020,RT @LeonardCheshire: Check out @myblurredworld blog about how ‘accessible fashion’ should be applied to the entire shopping experience and…,5,GertieTheDino,
Sun Feb 16 15:18:04 +0000 2020,"RT @johncutlefish: should programmers learn how to do usability testing, competitive analysis, business model design, accessibility studies…",13,Elenhada,
Sun Feb 16 15:17:40 +0000 2020,"RT @taraghuveer: Turns out @BernieSanders has a plan to end utility shut offs, tucked into his disability rights platform. An underrated Be…",4395,RainCl0ud_,
Sun Feb 16 15:17:21 +0000 2020,RT @ProfessorABP: Thrilled to see this excellent commentary from @bethtris about the need for #realcrimedata to inform crime and justice po…,2,mattBernius,realcrimedata
Sun Feb 16 15:16:36 +0000 2020,RT @LeonardCheshire: Check out @myblurredworld blog about how ‘accessible fashion’ should be applied to the entire shopping experience and…,5,veron4ica,
Sun Feb 16 15:16:20 +0000 2020,@MarkProvanP @damedithe1st @PLACEEdinburgh @Edinburgh_CC The car is used as a mode of transport that gets the disab… https://t.co/09cjOE0BlG,0,LRichieScott,
Sun Feb 16 15:15:59 +0000 2020,Let’s talk Neumorphism and Accessibility by Uyen Vicky Vo in @uxdesigncc https://t.co/jIOxtI1mES,0,marianabeldi,
Sun Feb 16 15:14:53 +0000 2020,"Oh, I'd forgotten that Bloomberg fought attempts to improve taxi access for wheelchair-using passengers! #AMJoy https://t.co/J6OMrzko7I",4,GreenEyedLilo,AMJoy
Sun Feb 16 15:14:52 +0000 2020,RT @sesmith: So apparently we have to go through this every few months now: It is absolutely not acceptable to use disabled people and acce…,62,k_rad,
